source,city,temperature_c,condition,extraction_method,url,scraped_at,batch_number,batch_timestamp,record_number,collection_time,data_type,alert_active,wind_speed_kmh,alert_types,issue_date,valid_until,feels_like_c,humidity_percent,pressure_hpa,wind_speed_mps,wind_direction,weather_main,weather_description,cloud_coverage,visibility_m,timestamp,forecast_hours_ahead,forecast_time,predicted_temp_c,precipitation_chance,confidence,generated_at,error
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:36:23,1,2026-02-04T21:35:59.764326,9,21:36:27,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:37:32,2,2026-02-04T21:37:20.100200,24,21:37:35,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:39:00,3,2026-02-04T21:38:47.883325,41,21:39:04,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:40:20,4,2026-02-04T21:39:49.382125,58,21:40:23,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:41:28,5,2026-02-04T21:41:08.829024,75,21:41:32,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:43:01,6,2026-02-04T21:42:32.966873,92,21:43:04,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:45:36,7,2026-02-04T21:44:12.853822,110,21:45:39,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:47:09,8,2026-02-04T21:46:29.872149,127,21:47:12,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:48:41,9,2026-02-04T21:48:06.904623,144,21:48:48,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:50:16,10,2026-02-04T21:50:02.150103,160,21:50:19,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:51:38,11,2026-02-04T21:51:26.440698,176,21:51:41,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:53:05,12,2026-02-04T21:52:50.024006,195,21:53:08,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:54:35,13,2026-02-04T21:54:17.279685,212,21:54:38,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:56:09,14,2026-02-04T21:55:45.336524,230,21:56:12,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:57:23,15,2026-02-04T21:57:06.794339,245,21:57:27,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,21:58:47,16,2026-02-04T21:58:21.349786,265,21:58:54,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,22:00:14,17,2026-02-04T21:59:52.818909,282,22:00:18,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,,22:01:54,18,2026-02-04T22:01:27.704143,299,22:02:00,weather_alert,False,,error_fallback,,,,,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='www.meteo.tn', port=443)"
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,22:03:13,19,2026-02-04T22:03:02.350012,316,22:03:17,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,22:04:39,20,2026-02-04T22:04:27.013743,331,22:04:42,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,22:06:05,21,2026-02-04T22:05:53.358113,349,22:06:09,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,22:07:32,22,2026-02-04T22:07:20.403465,365,22:07:36,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,22:09:18,23,2026-02-04T22:09:06.539492,381,22:09:22,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
meteo_tn,,,,,https://www.meteo.tn/fr/vigilance-meterologique,22:10:34,24,2026-02-04T22:10:22.407658,399,22:10:37,weather_alert,True,80,"sand_storm, rain, storm, wind",2026-02-04 16:58,2026-02-05 17:00,,,,,,,,,,,,,,,,,
